Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
420,1530,17-VBL-20007,unset,FLAN,=67132086/1711,1,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,START,188550.000mm,155172.000mm,100927.800mm,Unset,,,0,,0,,,,,,
421,,,unset,FLAN,=67132086/1711,2,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,155000.000mm,100927.800mm,Unset,,,0,,0,,,,,,
422,,,unset,GASK,=67132086/1712,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,155000.000mm,100927.800mm,Unset,,,0,,0,,,,,,
423,,,unset,GASK,=67132086/1712,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154996.800mm,100927.800mm,Unset,,,0,,0,,,,,,
424,,,17-VBL-20007,VALV,=67132086/1713,1,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154996.800mm,100927.800mm,Unset,,,0,,0,,,,,,
425,,,17-VBL-20007,VALV,=67132086/1713,2,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154107.800mm,100927.800mm,Unset,,,0,,0,,,,,,
426,,,unset,GASK,=67132086/1714,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154107.800mm,100927.800mm,Unset,,,0,,0,,,,,,
427,,,unset,GASK,=67132086/1714,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154104.600mm,100927.800mm,Unset,,,0,,0,,,,,,
428,,,unset,FLAN,=67132086/1715,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,188550.000mm,154104.600mm,100927.800mm,Unset,,,0,,0,,,,,,
429,1540,17-VBL-20007,unset,FLAN,=67132086/1715,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,END,188550.000mm,153932.600mm,100927.800mm,Unset,,,0,,0,,,,,,
430,,,unset,ELBO,=67132086/1716,1,1,350mm,355.6,0.000,0,533.000,0,550mm,0.000,,0.000,,188550.000mm,153932.600mm,100927.800mm,Unset,,,0,,0,,,,,,
431,1550,,unset,ELBO,=67132086/1716,0,0,350mm,355.6,0.000,0,533.000,0,550mm,0.000,,0.000,,188550.000mm,153399.600mm,100927.800mm,Unset,,,0,,1,,,,,,
432,,,unset,ELBO,=67132086/1716,2,2,350mm,355.6,0.000,0,533.000,0,550mm,0.000,,0.000,,189083.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
433,,,unset,OLET,=67132086/1717,1,1,350mm,355.6,0.000,0,0.000,0,75mm,0.000,,0.000,,189633.000mm,153399.600mm,100927.800mm,=67132086/1729,,,0,,0,,,,,,
434,,,unset,OLET,=67132086/1717,3,3,50mm,355.6,0.000,0,0.000,0,75mm,0.000,,0.000,,189633.000mm,153399.600mm,101143.700mm,=67132086/1729,,,0,,0,,,,,,
435,1560,,unset,OLET,=67132086/1717,0,0,350mm,355.6,0.000,0,0.000,0,75mm,0.000,,0.000,,189633.000mm,153399.600mm,100927.800mm,=67132086/1729,,,0,,0,,,,,,
436,,,unset,OLET,=67132086/1717,2,2,350mm,355.6,0.000,0,0.000,0,75mm,0.000,,0.000,,189633.000mm,153399.600mm,100927.800mm,=67132086/1729,,,0,,0,,,,,,
437,1570,PS-171083.1,PS-171083.1,ATTA,=67132086/1718,0,0,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,189708.003mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
438,1580,PS-171083.3,PS-171083.3,ATTA,=67132086/1803,0,0,350mm,355.6,0.000,0,0.000,0,275mm,0.000,,0.000,,189708.003mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
439,,,unset,OLET,=67132086/1720,1,1,350mm,355.6,0.000,0,0.000,0,341mm,0.000,,0.000,,189983.003mm,153399.600mm,100927.800mm,=67132086/328,,,0,,0,,,,,,
440,,,unset,OLET,=67132086/1720,3,3,50mm,355.6,0.000,0,0.000,0,341mm,0.000,,0.000,,189983.003mm,153399.600mm,101143.700mm,=67132086/328,,,0,,0,,,,,,
441,1590,,unset,OLET,=67132086/1720,0,0,350mm,355.6,0.000,0,0.000,0,341mm,0.000,,0.000,,189983.003mm,153399.600mm,100927.800mm,=67132086/328,,,0,,0,,,,,,
442,,,unset,OLET,=67132086/1720,2,2,350mm,355.6,0.000,0,0.000,0,341mm,0.000,,0.000,,189983.003mm,153399.600mm,100927.800mm,=67132086/328,,,0,,0,,,,,,
443,1600,,unset,FLAN,=67132086/1721,1,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,START,190324.800mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
444,,,unset,FLAN,=67132086/1721,2,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,190496.800mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
445,,,unset,GASK,=67132086/1722,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,190496.800mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
446,,,unset,GASK,=67132086/1722,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,190500.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
447,,,unset,FLAN,=67132086/1723,1,1,350mm,355.6,0.000,0,0.000,0,795mm,0.000,,0.000,,190500.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
448,1610,,unset,FLAN,=67132086/1723,2,2,350mm,355.6,0.000,0,0.000,0,795mm,0.000,,0.000,END,190672.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
449,,,unset,ELBO,=67132086/1724,1,1,350mm,355.6,0.000,0,533.000,0,0mm,0.000,,0.000,,191467.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
450,1620,,unset,ELBO,=67132086/1724,0,0,350mm,355.6,0.000,0,533.000,0,0mm,0.000,,0.000,,192000.000mm,153399.600mm,100927.800mm,Unset,,,0,,0,,,,,,
451,,,unset,ELBO,=67132086/1724,2,2,350mm,355.6,0.000,0,533.000,0,0mm,0.000,,0.000,,192000.000mm,153932.600mm,100927.800mm,Unset,,,0,,0,,,,,,
452,1630,17-VBL-20008,unset,FLAN,=67132086/1725,1,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,START,192000.000mm,153932.600mm,100927.800mm,Unset,,,0,,0,,,,,,
453,,,unset,FLAN,=67132086/1725,2,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154104.600mm,100927.800mm,Unset,,,0,,0,,,,,,
454,,,unset,GASK,=67132086/1726,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154104.600mm,100927.800mm,Unset,,,0,,0,,,,,,
455,,,unset,GASK,=67132086/1726,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154107.800mm,100927.800mm,Unset,,,0,,0,,,,,,
456,,,17-VBL-20008,VALV,=67132086/1727,1,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154107.800mm,100927.800mm,Unset,,,0,,0,,,,,,
457,,,17-VBL-20008,VALV,=67132086/1727,2,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154996.800mm,100927.800mm,Unset,,,0,,0,,,,,,
458,,,unset,GASK,=67132086/1728,1,1,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,154996.800mm,100927.800mm,Unset,,,0,,0,,,,,,
459,,,unset,GASK,=67132086/1728,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,,0.000,,192000.000mm,155000.000mm,100927.800mm,Unset,,,0,,0,,,,,,
460,1640,17-VBL-20008,unset,BRAN,=67132086/1654,2,2,350mm,355.6,0.000,0,0.000,0,0mm,0.000,0,0.000,END,192000.000mm,155000.000mm,100927.800mm,=67132094/41,BRAN,0,0,,0,0,-100000,,,,
461,230,,unset,BRAN,=67132086/1452,1,1,250mm,273,0.000,0,0.000,0,603mm,0.000,0,0.000,,153200.000mm,154899.800mm,101336.500mm,=67132086/1637,TEE,0,0,,0,0,-100000,,,,
462,,,unset,ELBO,=67132086/1453,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,152381.000mm,154899.800mm,101336.500mm,Unset,,,0,,0,,,,,,
463,1650,,unset,ELBO,=67132086/1453,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,152000.000mm,154899.800mm,101336.500mm,Unset,,,0,,1,,,,,,
464,,,unset,ELBO,=67132086/1453,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,152000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
465,1660,,unset,FLAN,=67132086/1454,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,152000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
466,,,unset,FLAN,=67132086/1454,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
467,,,unset,GASK,=67132086/1455,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
468,,,unset,GASK,=67132086/1455,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
469,,,unset,INST,=67132086/1456,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
470,,,unset,INST,=67132086/1456,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
471,,,unset,GASK,=67132086/1457,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
472,,,unset,GASK,=67132086/1457,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
473,,,unset,FLAN,=67132086/1458,1,1,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,,152000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
474,1670,,unset,FLAN,=67132086/1458,2,2,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,END,152000.000mm,156392.200mm,101336.500mm,Unset,,,0,,0,,,,,,
475,1680,PS-171007.2,PS-171007.2,ATTA,=67132086/1459,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
476,1690,PS-171007.5,PS-171007.5,ATTA,=67132086/1460,0,0,250mm,273,0.000,0,0.000,0,2323mm,0.000,,0.000,,152000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
477,1700,,unset,REDU,=67132086/1461,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152000.000mm,159253.202mm,101336.498mm,Unset,,,0,,0,,,,,,
478,1710,,unset,REDU,=67132086/1461,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,152000.000mm,159431.202mm,101309.548mm,Unset,,,0,,0,,,,,,
479,,,unset,ELBO,=67132086/1462,1,1,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,152000.000mm,159431.202mm,101309.548mm,Unset,,,0,,0,,,,,,
480,1720,,unset,ELBO,=67132086/1462,0,0,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,152000.000mm,159558.202mm,101309.548mm,Unset,,,0,,0,,,,,,
481,,,unset,ELBO,=67132086/1462,2,2,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,152000.000mm,159648.005mm,101219.745mm,Unset,,,0,,0,,,,,,
482,1730,,unset,BRAN,=67132086/1452,2,2,200mm,219.1,0.000,0,0.000,0,603mm,0.000,0,0.000,,152000.000mm,160008.200mm,100859.550mm,=67132086/1259,TEE,0,0,,0,0,-100000,,,,
483,520,,unset,BRAN,=67132086/1440,1,1,250mm,273,0.000,0,0.000,0,603mm,0.000,0,0.000,,158200.000mm,154899.800mm,101336.500mm,=67132086/1587,TEE,0,0,,0,0,-100000,,,,
484,,,unset,ELBO,=67132086/1441,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,157381.000mm,154899.800mm,101336.500mm,Unset,,,0,,0,,,,,,
485,1740,,unset,ELBO,=67132086/1441,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,157000.000mm,154899.800mm,101336.500mm,Unset,,,0,,1,,,,,,
486,,,unset,ELBO,=67132086/1441,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,157000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
487,1750,,unset,FLAN,=67132086/1442,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,157000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
488,,,unset,FLAN,=67132086/1442,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
489,,,unset,GASK,=67132086/1443,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
490,,,unset,GASK,=67132086/1443,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
491,,,unset,INST,=67132086/1444,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
492,,,unset,INST,=67132086/1444,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
493,,,unset,GASK,=67132086/1445,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
494,,,unset,GASK,=67132086/1445,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
495,,,unset,FLAN,=67132086/1446,1,1,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,,157000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
496,1760,,unset,FLAN,=67132086/1446,2,2,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,END,157000.000mm,156392.200mm,101336.500mm,Unset,,,0,,0,,,,,,
497,1770,PS-171016.2,PS-171016.2,ATTA,=67132086/1447,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
498,1780,PS-171016.5,PS-171016.5,ATTA,=67132086/1448,0,0,250mm,273,0.000,0,0.000,0,2323mm,0.000,,0.000,,157000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
499,1790,,unset,REDU,=67132086/1449,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157000.000mm,159253.200mm,101336.500mm,Unset,,,0,,0,,,,,,
500,1800,,unset,REDU,=67132086/1449,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,157000.000mm,159431.200mm,101309.550mm,Unset,,,0,,0,,,,,,
501,,,unset,ELBO,=67132086/1450,1,1,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,157000.000mm,159431.200mm,101309.550mm,Unset,,,0,,0,,,,,,
502,1810,,unset,ELBO,=67132086/1450,0,0,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,157000.000mm,159558.200mm,101309.550mm,Unset,,,0,,0,,,,,,
503,,,unset,ELBO,=67132086/1450,2,2,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,157000.000mm,159648.003mm,101219.747mm,Unset,,,0,,0,,,,,,
504,1820,,unset,BRAN,=67132086/1440,2,2,200mm,219.1,0.000,0,0.000,0,603mm,0.000,0,0.000,,157000.000mm,160008.200mm,100859.550mm,=67132086/1260,TEE,0,0,,0,0,-100000,,,,
505,760,,unset,BRAN,=67132086/1428,1,1,250mm,273,0.000,0,0.000,0,603mm,0.000,0,0.000,,163200.000mm,154899.800mm,101336.500mm,=67132086/1537,TEE,0,0,,0,0,-100000,,,,
506,,,unset,ELBO,=67132086/1429,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,162381.000mm,154899.800mm,101336.500mm,Unset,,,0,,0,,,,,,
507,1830,,unset,ELBO,=67132086/1429,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,162000.000mm,154899.800mm,101336.500mm,Unset,,,0,,1,,,,,,
508,,,unset,ELBO,=67132086/1429,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,162000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
509,1840,,unset,FLAN,=67132086/1430,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,162000.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
510,,,unset,FLAN,=67132086/1430,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
511,,,unset,GASK,=67132086/1431,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
512,,,unset,GASK,=67132086/1431,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
513,,,unset,INST,=67132086/1432,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
514,,,unset,INST,=67132086/1432,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
515,,,unset,GASK,=67132086/1433,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
516,,,unset,GASK,=67132086/1433,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
517,,,unset,FLAN,=67132086/1434,1,1,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,,162000.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
518,1850,,unset,FLAN,=67132086/1434,2,2,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,END,162000.000mm,156392.200mm,101336.500mm,Unset,,,0,,0,,,,,,
519,1860,PS-171024.2,PS-171024.2,ATTA,=67132086/1435,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
520,1870,PS-171024.5,PS-171024.5,ATTA,=67132086/1436,0,0,250mm,273,0.000,0,0.000,0,2323mm,0.000,,0.000,,162000.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
521,1880,,unset,REDU,=67132086/1437,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162000.000mm,159253.200mm,101336.500mm,Unset,,,0,,0,,,,,,
522,1890,,unset,REDU,=67132086/1437,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,162000.000mm,159431.200mm,101309.550mm,Unset,,,0,,0,,,,,,
523,,,unset,ELBO,=67132086/1438,1,1,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,162000.000mm,159431.200mm,101309.550mm,Unset,,,0,,0,,,,,,
524,1900,,unset,ELBO,=67132086/1438,0,0,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,162000.000mm,159558.200mm,101309.550mm,Unset,,,0,,0,,,,,,
525,,,unset,ELBO,=67132086/1438,2,2,200mm,219.1,0.000,0,306.605,0,331mm,0.000,,0.000,,162000.000mm,159648.003mm,101219.747mm,Unset,,,0,,0,,,,,,
526,1910,,unset,BRAN,=67132086/1428,2,2,200mm,219.1,0.000,0,0.000,0,603mm,0.000,0,0.000,,162000.000mm,160008.200mm,100859.550mm,=67132086/1264,TEE,0,0,,0,0,-100000,,,,
527,1000,,unset,BRAN,=67132086/1416,1,1,250mm,273,0.000,0,0.000,0,653mm,0.000,0,0.000,,168200.000mm,154899.800mm,101336.500mm,=67132086/1492,TEE,0,0,,0,0,-100000,,,,
528,,,unset,ELBO,=67132086/1417,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,167331.000mm,154899.800mm,101336.500mm,Unset,,,0,,0,,,,,,
529,1920,,unset,ELBO,=67132086/1417,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,166950.000mm,154899.800mm,101336.500mm,Unset,,,0,,1,,,,,,
530,,,unset,ELBO,=67132086/1417,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,166950.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
531,1930,,unset,FLAN,=67132086/1418,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,166950.000mm,155280.800mm,101336.500mm,Unset,,,0,,0,,,,,,
532,,,unset,FLAN,=67132086/1418,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
533,,,unset,GASK,=67132086/1419,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,155439.800mm,101336.500mm,Unset,,,0,,0,,,,,,
534,,,unset,GASK,=67132086/1419,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
535,,,unset,INST,=67132086/1420,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,155443.000mm,101336.500mm,Unset,,,0,,0,,,,,,
536,,,unset,INST,=67132086/1420,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
537,,,unset,GASK,=67132086/1421,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,156230.000mm,101336.500mm,Unset,,,0,,0,,,,,,
538,,,unset,GASK,=67132086/1421,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
539,,,unset,FLAN,=67132086/1422,1,1,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,,166950.000mm,156233.200mm,101336.500mm,Unset,,,0,,0,,,,,,
540,1940,,unset,FLAN,=67132086/1422,2,2,250mm,273,0.000,0,0.000,0,715mm,0.000,,0.000,END,166950.000mm,156392.200mm,101336.500mm,Unset,,,0,,0,,,,,,
541,1950,PS-171032.2,PS-171032.2,ATTA,=67132086/1423,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
542,1960,PS-171032.5,PS-171032.5,ATTA,=67132086/1424,0,0,250mm,273,0.000,0,0.000,0,2323mm,0.000,,0.000,,166950.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
543,1970,,unset,REDU,=67132086/1425,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,166950.000mm,159253.200mm,101336.500mm,Unset,,,0,,0,,,,,,
